,Şəhər,Sürətlər qutusu,Marka,Ötürücü,Model,Yeni,Buraxılış ili,Yürüş,Yerlərin sayı,Ban növü,Sahiblər,Rəng,Hansı bazar üçün yığılıb,Avtosalon,price,Motor,At gücü,Yanacaq,Yüngül lehimli disklər,Mərkəzi qapanma,Dəri salon,Oturacaqların ventilyasiyası,ABS,Park radarı,Ksenon lampalar,Lyuk,Kondisioner,Arxa görüntü kamerası,Yağış sensoru,Oturacaqların isidilməsi,Yan pərdələr
1,Bakı,Avtomat,Mercedes,Tam,G 63 AMG,Xeyr,2019,21000,5,Offroader ,2,Qara,Rəsmi diler,Yes,349443.5,4.0,585.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
2,Bakı,Avtomat,Hyundai,Ön,Grandeur,Bəli,2023,0,5,Sedan,0,Qara,Digər,Yes,77900.0,1.6,230.0,Hibrid,True,True,True,True,True,True,True,True,True,True,False,True,False
3,Bakı,Avtomat,Mercedes,Tam,GLS 450 4MATIC,Xeyr,2021,39000,5,Offroader ,2,Qara,Digər,Yes,167450.0,3.0,367.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Bakı,Avtomat,Voyah,Tam,Free,Bəli,2024,0,5,Offroader ,0,Yaşıl,Digər,Yes,74630.0,1.5,490.0,Plug-in Hibrid,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Bakı,Avtomat,Volkswagen,Ön,Jetta,Xeyr,2016,215652,4,Sedan,2,Qara,Amerika,No,16000.0,1.4,150.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2014,107000,4,Offroader ,1,Qara,Avropa,No,101150.0,5.0,510.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
7,Bakı,Avtomat,Toyota,Ön,Camry,Bəli,2024,0,5,Sedan,0,Ağ,Çin,No,66130.0,2.0,197.0,Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,False
8,Bakı,Avtomat,BMW,Tam,X5,Xeyr,2016,121000,5,Offroader ,1,Ağ,Digər,No,62050.0,2.0,313.0,Plug-in Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,True
9,Bakı,Variator,Toyota,Ön,Aqua,Xeyr,2017,145680,5,"Hetçbek, ",1,Qara,Digər,No,19000.0,1.5,74.0,Hibrid,True,True,False,False,True,True,True,False,True,True,True,False,False
10,Bakı,Avtomat,Volkswagen,Arxa,Amarok,Xeyr,2017,111000,5,"Pikap, ikiqat kabin",1,Ağ,Avropa,No,51850.0,2.0,180.0,Dizel,True,True,True,False,True,True,True,False,True,True,True,True,False
11,Bakı,Avtomat,Hyundai,Ön,Santa Fe,Xeyr,2023,400,4,Offroader ,1,Gümüşü,Amerika,No,58650.0,1.6,230.0,Hibrid,True,True,True,True,True,True,True,True,True,True,True,True,True
12,Bakı,Variator,Toyota,Ön,Prius,Xeyr,2007,225000,4,Liftbek,2,Qara,Digər,No,14200.0,1.5,76.0,Hibrid,True,True,True,False,False,False,True,False,False,True,False,True,False
13,Balakən,Avtomat,Mercedes,Arxa,E 220 d,Xeyr,2011,210000,5,Sedan,1,Qara,Avropa,No,22700.0,2.2,150.0,Dizel,True,True,False,True,True,True,True,False,True,True,True,True,True
14,Bakı,Avtomat,Mercedes,Arxa,C 180,Xeyr,1995,345451,5,Sedan,2,Ağ,Avropa,No,7200.0,1.8,122.0,Benzin,True,True,False,False,True,False,False,False,True,False,False,False,False
15,Bakı,Avtomat,Volkswagen,Tam,Taos,Xeyr,2021,22000,5,Offroader ,1,Ağ,Rəsmi diler,No,41500.0,1.4,150.0,Benzin,False,True,False,False,True,False,True,False,True,True,True,True,False
16,Sumqayıt,Avtomat,Mercedes,Arxa,C 230,Xeyr,1998,208208,5,Sedan,2,Gümüşü,Amerika,No,10990.0,2.3,193.0,Benzin,False,False,True,False,True,False,False,True,True,False,False,False,False
17,Bakı,Mexaniki,Opel,Ön,Astra,Xeyr,2009,218000,5,"Universal, ",2,Gümüşü,Digər,No,11000.0,1.3,90.0,Dizel,False,False,False,False,True,False,True,False,True,False,False,False,False
18,Sumqayıt,Avtomat,Opel,Ön,Astra,Xeyr,2002,280800,5,Sedan,1,Gümüşü,Avropa,No,9200.0,1.8,116.0,Benzin,True,True,False,False,True,False,False,False,True,False,False,False,False
19,Bakı,Avtomat,Chevrolet,Ön,Malibu,Xeyr,2018,220000,5,Sedan,2,Ağ,Amerika,No,20800.0,1.5,160.0,Benzin,True,True,False,False,True,False,True,True,True,True,False,False,True
20,Bakı,Variator,Toyota,Ön,Prius,Xeyr,2008,259800,5,Liftbek,2,Mavi,Amerika,No,6800.0,1.5,76.0,Hibrid,True,True,False,False,True,False,False,False,True,True,True,False,False
21,Bakı,Avtomat,Kia,Ön,Sorento,Xeyr,2018,131000,5,Offroader ,0,Yaş Asfalt,Koreya,No,49500.0,2.0,186.0,Dizel,True,True,True,True,True,True,True,True,True,True,True,True,True
22,Bakı,Mexaniki,Kia,Ön,Rio,Xeyr,2007,255000,5,"Hetçbek, ",2,Qara,Avropa,No,11600.0,1.5,110.0,Dizel,True,True,False,False,True,True,True,False,True,False,True,True,False
23,Bakı,Avtomat,Mercedes,Arxa,S 450,Xeyr,2017,131000,5,Sedan,2,Qara,Rəsmi diler,Yes,105400.0,3.0,367.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
24,Bakı,Avtomat,Kia,Ön,Sorento,Xeyr,2015,205000,5,Offroader ,2,Gümüşü,Koreya,No,33000.0,2.0,184.0,Dizel,False,False,False,False,False,False,False,False,False,False,False,False,False
